symbol,date,isEnabled
AIMC,2020-04-09,true
AIMT,2020-04-09,true
AIN,2020-04-09,true
AINC,2020-04-09,true
AINV,2020-04-09,true
AIO,2020-04-09,true
AIQ,2020-04-09,true
AIR,2020-04-09,true
AIRG,2020-04-09,true
AIRI,2020-04-09,true
AIRR,2020-04-09,true
AIRT,2020-04-09,true
AIRTP,2020-04-09,true
AIRTW,2020-04-09,true
AIT,2020-04-09,true
AIV,2020-04-09,true
AIW,2020-04-09,true
AIZ,2020-04-09,true
AIZP,2020-04-09,true
AJG,2020-04-09,true
AJRD,2020-04-09,true
AJX,2020-04-09,true
AJXA,2020-04-09,true
AKAM,2020-04-09,true
AKBA,2020-04-09,true
AKCA,2020-04-09,true
AKER,2020-04-09,true
AKG,2020-04-09,true
AKO.A,2020-04-09,true
AKO.B,2020-04-09,true
AKR,2020-04-09,true
AKRO,2020-04-09,true
AKRX,2020-04-09,true
AKTS,2020-04-09,true
AKTX,2020-04-09,true
AL,2020-04-09,true
AL-A,2020-04-09,true
ALAC,2020-04-09,true
ALACR,2020-04-09,true
ALACU,2020-04-09,true
ALACW,2020-04-09,true
ALB,2020-04-09,true
ALBO,2020-04-09,true
ALC,2020-04-09,true
ALCO,2020-04-09,true
ALDX,2020-04-09,true
ALE,2020-04-09,true
ALEC,2020-04-09,true
ALEX,2020-04-09,true
ALFA,2020-04-09,true
ALG,2020-04-09,true
ALGN,2020-04-09,true
ALGR,2020-04-09,true
ALGRR,2020-04-09,true
ALGRU,2020-04-09,true
ALGRW,2020-04-09,true
ALGT,2020-04-09,true
ALIM,2020-04-09,true
ALIN-A,2020-04-09,true
ALIN-B,2020-04-09,true
ALIN-E,2020-04-09,true
ALJJ,2020-04-09,true
ALK,2020-04-09,true
ALKS,2020-04-09,true
ALL,2020-04-09,true
ALL-B,2020-04-09,true
ALL-G,2020-04-09,true
ALL-H,2020-04-09,true
ALL-I,2020-04-09,true
ALLE,2020-04-09,true
ALLK,2020-04-09,true
ALLO,2020-04-09,true
ALLT,2020-04-09,true
ALLY,2020-04-09,true
ALLY-A,2020-04-09,true
ALNA,2020-04-09,true
ALNY,2020-04-09,true
ALO,2020-04-09,true
ALOT,2020-04-09,true
ALP-Q,2020-04-09,true
ALPN,2020-04-09,true
ALRM,2020-04-09,true
ALRN,2020-04-09,true
ALRS,2020-04-09,true
ALSK,2020-04-09,true
ALSN,2020-04-09,true
ALT,2020-04-09,true
ALTG,2020-04-09,true
ALTG+,2020-04-09,true
ALTM,2020-04-09,true
ALTR,2020-04-09,true
ALTS,2020-04-09,true
ALTY,2020-04-09,true
ALUS,2020-04-09,true
ALUS+,2020-04-09,true
ALUS=,2020-04-09,true
ALV,2020-04-09,true
ALX,2020-04-09,true
ALXN,2020-04-09,true
ALYA,2020-04-09,true
AM,2020-04-09,true
AMAG,2020-04-09,true
AMAL,2020-04-09,true
AMAT,2020-04-09,true
AMBA,2020-04-09,true
AMBC,2020-04-09,true
AMBC+,2020-04-09,true
AMBO,2020-04-09,true
AMC,2020-04-09,true
AMCA,2020-04-09,true
AMCI,2020-04-09,true
AMCIU,2020-04-09,true
AMCIW,2020-04-09,true
AMCR,2020-04-09,true
AMCX,2020-04-09,true
AMD,2020-04-09,true
AME,2020-04-09,true
AMED,2020-04-09,true
AMEH,2020-04-09,true
AMG,2020-04-09,true
AMGN,2020-04-09,true
AMH,2020-04-09,true
AMH-D,2020-04-09,true
AMH-E,2020-04-09,true
AMH-F,2020-04-09,true
AMH-G,2020-04-09,true
AMH-H,2020-04-09,true
AMHC,2020-04-09,true
AMHCU,2020-04-09,true
AMHCW,2020-04-09,true
AMJ,2020-04-09,true
AMK,2020-04-09,true
AMKR,2020-04-09,true
AMLP,2020-04-09,true
AMN,2020-04-09,true
AMNB,2020-04-09,true
AMOM,2020-04-09,true
AMOT,2020-04-09,true
AMOV,2020-04-09,true
AMP,2020-04-09,true
AMPE,2020-04-09,true
AMPH,2020-04-09,true
AMPY,2020-04-09,true
AMRB,2020-04-09,true
AMRC,2020-04-09,true
AMRH,2020-04-09,true
AMRHW,2020-04-09,true
AMRK,2020-04-09,true
AMRN,2020-04-09,true
AMRS,2020-04-09,true
AMRX,2020-04-09,true
AMS,2020-04-09,true
AMSC,2020-04-09,true
AMSF,2020-04-09,true
AMSWA,2020-04-09,true
AMT,2020-04-09,true
AMTB,2020-04-09,true
AMTBB,2020-04-09,true
AMTD,2020-04-09,true
AMTX,2020-04-09,true
AMU,2020-04-09,true
AMUB,2020-04-09,true
AMWD,2020-04-09,true
AMX,2020-04-09,true
AMZA,2020-04-09,true
AMZN,2020-04-09,true
AN,2020-04-09,true
ANAB,2020-04-09,true
ANAT,2020-04-09,true
ANCN,2020-04-09,true
ANDA,2020-04-09,true
ANDAR,2020-04-09,true
ANDAU,2020-04-09,true
ANDAW,2020-04-09,true
ANDE,2020-04-09,true
ANET,2020-04-09,true
ANF,2020-04-09,true
ANGI,2020-04-09,true
ANGL,2020-04-09,true
ANGO,2020-04-09,true
ANH,2020-04-09,true
ANH-A,2020-04-09,true
ANH-B,2020-04-09,true
ANH-C,2020-04-09,true
ANIK,2020-04-09,true
ANIP,2020-04-09,true
ANIX,2020-04-09,true
ANPC,2020-04-09,true
ANSS,2020-04-09,true
ANTE,2020-04-09,true
ANTM,2020-04-09,true
ANVS,2020-04-09,true
ANY,2020-04-09,true
AOA,2020-04-09,true
AOBC,2020-04-09,true
AOD,2020-04-09,true
AOK,2020-04-09,true
AOM,2020-04-09,true
AON,2020-04-09,true
AOR,2020-04-09,true
AOS,2020-04-09,true
AOSL,2020-04-09,true
AP,2020-04-09,true
APA,2020-04-09,true
APAM,2020-04-09,true
APD,2020-04-09,true
APDN,2020-04-09,true
APEI,2020-04-09,true
APEN,2020-04-09,true
APEX,2020-04-09,true
APH,2020-04-09,true
APHA,2020-04-09,true
APLE,2020-04-09,true
APLS,2020-04-09,true
APLT,2020-04-09,true
APM,2020-04-09,true
APO,2020-04-09,true
APO-A,2020-04-09,true
APO-B,2020-04-09,true
APOG,2020-04-09,true
APOP,2020-04-09,true
APOPW,2020-04-09,true
APPF,2020-04-09,true
APPN,2020-04-09,true
APPS,2020-04-09,true
APRE,2020-04-09,true
APRN,2020-04-09,true
APT,2020-04-09,true
APTO,2020-04-09,true
APTS,2020-04-09,true
APTV,2020-04-09,true
APTX,2020-04-09,true
APVO,2020-04-09,true
APWC,2020-04-09,true
APXT,2020-04-09,true
APXTU,2020-04-09,true
APXTW,2020-04-09,true
APY,2020-04-09,true
APYX,2020-04-09,true
AQB,2020-04-09,true
AQMS,2020-04-09,true
AQN,2020-04-09,true
AQNA,2020-04-09,true
AQNB,2020-04-09,true
AQST,2020-04-09,true
AQUA,2020-04-09,true
AR,2020-04-09,true
ARA,2020-04-09,true
ARAV,2020-04-09,true
ARAY,2020-04-09,true
ARC,2020-04-09,true
ARCB,2020-04-09,true
ARCC,2020-04-09,true
ARCE,2020-04-09,true
ARCH,2020-04-09,true
ARCM,2020-04-09,true
ARCO,2020-04-09,true
ARCT,2020-04-09,true
ARD,2020-04-09,true
ARDC,2020-04-09,true
ARDS,2020-04-09,true
ARDX,2020-04-09,true
ARE,2020-04-09,true
AREC,2020-04-09,true
ARES,2020-04-09,true
ARES-A,2020-04-09,true
ARGD,2020-04-09,true
ARGO,2020-04-09,true
ARGT,2020-04-09,true
ARGX,2020-04-09,true
ARI,2020-04-09,true
ARKF,2020-04-09,true
ARKG,2020-04-09,true
ARKK,2020-04-09,true
ARKQ,2020-04-09,true
ARKR,2020-04-09,true
ARKW,2020-04-09,true
ARL,2020-04-09,true
ARLO,2020-04-09,true
